⺀⺀	丶 丶
⺁⺁	⺁
⺂⺂	⺂
⺃⺃	⺃
⺄⺄	⺄
⺅⺅	亻
⺆⺆	⺆
⺇⺇	⺇
⺈⺈	⺈
⺉⺉	刂
⺊⺊	⺊
⺋⺋	⺋
⺌⺌	⺌
⺍⺍	⺍
⺎⺎	一 儿
⺏⺏	八 儿
⺐⺐	尢
⺑⺑	八 几
⺒⺒	巳
⺓⺓	幺
⺔⺔	彑
⺕⺕	⺕
⺖⺖	忄
⺗⺗	⺗
⺘⺘	扌
⺙⺙	攵
⺛⺛	旡
⺜⺜	⺜
⺝⺝	⺝
⺞⺞	歺
⺟⺟	母
⺠⺠	民
⺡⺡	氵
⺢⺢	氺
⺣⺣	灬
⺤⺤	爫
⺥⺥	⺥
⺦⺦	丬
⺧⺧	𠂒
⺨⺨	犭
⺩⺩	王
⺪⺪	⺪
⺫⺫	罒
⺬⺬	⺬
⺭⺭	礻
⺮⺮	⺮
⺯⺯	糹
⺰⺰	纟
⺱⺱	冂 乂
⺲⺲	罒
⺳⺳	冖 八
⺴⺴	冖 儿
⺵⺵	⺵
⺶⺶	⺶
⺷⺷	⺷
⺸⺸	⺸
⺹⺹	耂
⺺⺺	肀
⺻⺻	⺻
⺼⺼	⺼
⺽⺽	⺽
⺾⺾	⺿
⺿⺿	⺿
⻀⻀	卝
⻁⻁	虎
⻂⻂	衤
⻃⻃	覀
⻄⻄	西
⻅⻅	见
⻆⻆	⺈ 用
⻇⻇	⺈ 用
⻈⻈	讠
⻉⻉	贝
⻊⻊	⻊
⻋⻋	车
⻌⻌	辶
⻍⻍	⻍
⻎⻎	辶
⻏⻏	阝
⻐⻐	钅
⻑⻑	長
⻒⻒	镸
⻓⻓	长
⻔⻔	门
⻕⻕	丿 㠯
⻖⻖	阝
⻗⻗	⻗
⻘⻘	龶 ⺝
⻙⻙	韦
⻚⻚	页
⻛⻛	几 乂
⻜⻜	飞
⻝⻝	食
⻞⻞	⻞
⻟⻟	飠
⻠⻠	饣
⻡⻡	巛 一 自
⻢⻢	马
⻣⻣	骨
⻤⻤	鬼
⻥⻥	鱼
⻦⻦	鸟
⻧⻧	⺊ 龱
⻨⻨	龶 夂
⻩⻩	黄
⻪⻪	黾
⻫⻫	斉
⻬⻬	齐
⻭⻭	歯
⻮⻮	齿
⻯⻯	竜
⻰⻰	龙
⻱⻱	龜
⻲⻲	亀
⻳⻳	龟
⼀⼀	一
⼁⼁	丨
⼂⼂	丶
⼃⼃	丿
⼄⼄	乙
⼅⼅	亅
⼆⼆	二
⼇⼇	亠
⼈⼈	人
⼉⼉	儿
⼊⼊	入
⼋⼋	八
⼌⼌	冂
⼍⼍	冖
⼎⼎	冫
⼏⼏	几
⼐⼐	凵
⼑⼑	刀
⼒⼒	力
⼓⼓	勹
⼔⼔	匕
⼕⼕	匚
⼖⼖	匚
⼗⼗	十
⼘⼘	卜
⼙⼙	卩
⼚⼚	厂
⼛⼛	厶
⼜⼜	又
⼝⼝	口
⼞⼞	囗
⼟⼟	土
⼠⼠	士
⼡⼡	夂
⼢⼢	夂
⼣⼣	夕
⼤⼤	大
⼥⼥	女
⼦⼦	子
⼧⼧	宀
