Aa	乍
Ae	⺂
Ae	⺃
Ae	⺄
Ae	フ
Ae	レ
Ae	ヿ
Ae	ㄅ
Ae	ㄋ
Ae	ㄑ
Ae	ㄥ
Ae	㇂
Ae	㇅
Ae	㇈
Ae	㇋
Ae	㇎
Ae	㇗
Ae	㇞
Ae	㇢
Ae	乁
Ae	乚
Ae	乛
Ae	𠃌
Ag	戈
Ag	{晓右上}
Aj	巾
Ak	勹
Ak	囗
Al	里
Am	麻
Ap	攴
Ap	攵
Aq	犬
Aq	犭
Ar	⽱
Ar	禸
As	三
At	兎
At	兔
At	{免无儿}
At	{𤉢字头}
Au	乌
Av	魚
Ax	穴
Bb	巴
Bf	甫
Bg	广
Bh	禾
Bi	已
Bj	己
Bs	⺵
Bs	四
Bs	罒
By	酉
Cg	弓
Cl	力
Cq	七
Cq	{东二}
Ct	田
Cu	无
Cu	旡
Cy	讠
Da	{龍右}
Dc	齿
Dd	⺈
Dh	戶
Dh	户
Dh	戸
Dh	{倉中}
Di	㇀
Di	一
Dj	見
Dn	乃
Dn	{凸无一}
Ds	石
Dy	幺
Dy	言
Ec	臣
Ec	{姬右}
Ec	{𣐵右}
Eg	鬼
Eg	{鬼无厶}
Eh	黃
Eh	黄
Ei	㐅
Ei	乂
Ei	{丈无一}
Ej	丩
Ej	{𠨍左}
Ej	句
Ek	可
El	了
Em	目
Eq	曲
Eq	𡆪
Es	⺪
Es	䑕
Es	疋
Es	鼠
Es	{鼠下}
Es	鼡
Es	{巤无巛}
Et	土
Eu	壴
Ey	也
Fb	⺊
Fb	卜
Ff	飞
Fg	甘
Fg	{其字头}
Fj	及
Fl	侖
Fl	龠
Fm	米
Fm	{𠚍心}
Fs	尸
Fs	彡
Fs	糸
Fs	糹
Fs	𠁣
Fs	{眉框}
Fs	𰀪
Fx	象
Fy	月
Fy	⺝
Fy	⺼
Fy	円
Fy	{丽右角}
Fy	{月无一}
Fy	{然左角}
Fy	{夜右角}
Gb	゛
Gb	冫
Gb	{飞无折}
Gb	髟
Gc	亍
Gc	彳
Gd	豆
Gf	夫
Gf	飛
Gg	冖
Gg	宀
Gg	龟
Gg	⿔
Gg	亀
Gg	龜
Gg	𪚦
Gg	𪚴
Gg	𪛉
Gg	𬹝
Gi	至
Gn	鳥
Gn	{鳥省}
Gs	矢
Gu	烏
Gy	用
Hi	子
Hi	豸
Hj	甲
Hm	皿
Hq	且
Hr	人
Hr	亻
Hs	食
Hs	⻞
Hs	飠
Hs	丨
Hs	亅
Hs	豕
Hs	{豕无横}
Hs	𧰧
Ia	爪
Ia	⺥
Ia	爫
Ia	𫜵
Ib	㡀
Ib	{䕥下}
Ic	长
Ic	長
Ic	镸
Ic	{镸无厶}
Id	大
If	風
Il	鹿
Il	{鹿字框}
Il	{鹿旁}
Iq	气
Is	生
Is	厶
Is	龴
Is	{虫无口}
Iu	足
Iu	⻊
Iv	聿
Iv	肀
Iv	⺻
Iv	{𥁞字头}
Iv	{争字底}
Iv	{事字底}
Ix	小
Ix	⺌
Ix	{练右角}
Iz	走
Jb	白
Jc	辶
Jc	⻍
Jf	丰
Jf	龶
Jf	丯
Jf	{寿四}
Jf	{𢗒右}
Ji	夂
Jk	冂
Jk	凵
Jk	⺆
Jk	{凹无一}
Jp	片
Jp	{北左}
Jp	丬
Jp	爿
Jp	{⿍左角}
Jp	{⿍右角}
Js	士
Ju	竹
Ju	⺮
Ju	{临右上}
Ju	{竹左}
Jw	韋
Kc	川
Kc	巛
Kc	巜
Kc	{荒字底}
Kc	{州三点}
Ke	而
Kg	各
Ki	乙
Ki	𠃉
Kj	见
Kk	口
Kk	〇
Kk	{面字心}
Kk	{㐃上}
Kk	{乐二}
Kk	{卬左}
Kk	{留左上}
Kk	{卯左}
Kl	龱
Kl	𱕻
Kl	{卥字底}
Kl	{𠧧字底}
Kq	囚
Ld	斗
Lf	非
Lg	工
Li	止
Li	龰
Li	{步下}
Lj	九
Lk	㐄
Lk	{叏上}
Lk	{五无横}
Lm	⿆
Lo	丸
Ls	示
Ls	礻
Ls	⺬
Ls	𱍐
Lt	亠
Lw	文
Lx	心
Lx	忄
Lx	⺗
Mc	屮
Mc	{㪿三}
Mc	{屯无横}
Mc	{发二}
Mf	方
Mi	隹
Ml	六
Mp	辟
Ms	水
Ms	氵
Ms	⺍
Ms	ツ
Ms	氺
Ms	{益字头}
Ms	{乑字底}
Ms	{眔字底}
Mu	戉
Mu	戊
Mu	{臧字框}
Nb	八
Nb	䒑
Nb	丷
Nb	疒
Nb	癶
Nb	{其字底}
Nb	{祭字头}
Nd	刀
Nd	刂
Nd	〢
Nd	リ
Nd	{乔字底}
Nd	{刀中}
Nd	{黎右角}
Nd	{別字旁底}
Nd	{齊字腰最右}
Ne	二
Nh	黑
Nh	黒
Nl	仑
Nm	馬
Nm	{馬省}
Np	皮
Nq	千
Nq	{𠦅左}
Ns	饣
Nu	毋
Nu	毌
Nu	{婁字头}
Nw	亡
Nw	亾
Nw	兦
Ny	与
Oc	寸
Od	㇏
Od	丶
Od	乀
Og	古
Oi	{赢框}
On	鸟
On	{鸟省}
Oq	齐
Oq	斉
Oq	齊
Oq	{𦦏无臼}
Os	手
Os	扌
Os	龵
Os	{𮷞四}
Os	{举字底}
Os	{夫三}
Os	{段字旁无横}
Os	{拜左}
Ov	予
Oy	业
Oy	{虛字底}
Oy	{亞无横}
Oy	{亜无横}
Oy	{㓸左}
Pd	丁
Pg	艮
Pg	{即左}
Pj	钅
Pm	母
Pn	廿
Pn	龷
Pq	欠
Ps	十
Ps	𠂇
Ps	𬺰
Px	行
Px	{双口：吕吅}
Qa	敖
Qc	車
Qg	高
Qg	髙
Qg	{高头}
Qg	{亮头}
Qg	{髙头}
Qg	{𩫏头}
Qi	衣
Qi	衤
Qi	{旅右下}
Qi	{畏下无横}
Qi	𧘇
Qj	⺇
Qj	几
Qm	毛
Qm	{𡆰心}
Qo	舟
Qs	丗
Qs	卅
Qs	纟
Qs	{丝左角}
Qx	习
Qy	页
Rb	不
Rb	貝
Re	儿
Rg	革
